"method","sim","SBS6","SBS18","SBS13","SBS2","SBS3","g","total_muts","total_abs","prop_abs"
"all_data","43","-103.534248424045","-41.8116175846038","95.1314225942805","-134.869197236884","185.094196509512","50.5","6187.81","655.328823310626","0.0518395159140674"
"all_data","44","-156.440668589088","-26.3262838554607","40.9302755558005","-60.0466765358867","201.889560987663","50.5","8029.23","696.020584114486","0.064623523648124"
"all_data","45","-98.425946861631","-69.5065435348988","3.3332816143897","-39.983594756488","204.59312209412","50.5","5560.73","558.801604004563","0.051869736955026"
"all_data","46","-234.9265780853","-8.38623174762851","148.630142586779","-167.127144535582","261.82453559778","50.5","6123.22","956.02432600685","0.0931822648018705"
"all_data","47","-217.237073066425","12.9909247520208","53.7683692106999","-95.422896366814","245.914475044274","50.5","6599.65","840.796154324473","0.0882749946820828"
"all_data","48","-200.206167834193","47.2662013494425","19.9932761687431","-44.3796247454285","177.333716493518","50.5","5157.39","567.333818397229","0.074392605322351"
"all_data","49","-129.90718467102","-85.539174874681","105.579281725989","-143.53689505716","253.413187320434","50.5","5625.92","773.281025091446","0.0733370179173375"
"all_data","5","-122.429124472133","-88.9253047878714","-12.2715390331179","-44.4634411100207","268.098657454201","50.5","4675.58","622.097957124142","0.0663744798154843"
"all_data","50","-143.118231470428","-100.872158134865","80.6139424006487","-114.553866672785","277.943849157814","50.5","6264.21","808.0310371204","0.0675979782045756"
"all_data","51","-181.701589228808","-63.9290684009052","28.7090874868978","-65.4989284542188","282.429044125096","50.5","5234.59","721.602565363818","0.0801102123065636"
"all_data","52","-177.836355596865","0.669809136371941","53.107258173024","-105.938608931252","230.004911683051","50.5","6557.09","708.610889318081","0.0674921002182409"
"all_data","53","-202.937692135531","-68.5519607834343","9.14976735509754","-67.6580703767058","330.008711968695","50.5","4718.17","822.838885244514","0.0924276567273972"
"all_data","54","-136.218592636492","-99.3704527030374","57.0305131964678","-132.225384488128","310.793197996615","50.5","5521.47","811.274552651122","0.06880974433294"
"all_data","55","-178.937938266038","31.1903338901197","52.1231982106739","-77.3580584798601","172.990919566835","50.5","7243.37","686.660241635894","0.0717166087545549"
"all_data","56","-190.093782221658","-143.568548825016","49.8519442545584","-89.4863376844224","373.305544964539","50.5","6049.95","914.877798869787","0.0854681450566226"
"all_data","57","-197.119117489309","-123.553093093326","56.6016324042117","-95.8625292377506","359.944652511633","50.5","6186.85","911.568902504553","0.0766024900158437"
"all_data","58","-84.8478598388775","-91.0015015323819","182.742904815479","-220.176437504139","213.295132590252","50.5","6082.34","869.480004569737","0.0599570412677828"
"all_data","59","-117.424471401253","-44.1328057501814","189.363673620636","-238.248977528744","210.451563629223","50.5","6062.63","863.832825470071","0.0638617451759327"
"all_data","6","-91.1937131278189","-85.4052336238857","139.527461311946","-178.688487355174","215.775431544952","50.5","4744.74","764.595975658094","0.0634820610020682"
"all_data","60","-55.0907427968835","-54.2602140315733","54.436566166555","-100.80739383179","155.726033686708","50.5","5787.48","497.741216342536","0.0416984914205737"
"all_data","61","-118.56261634782","-98.0856378069352","145.182502013592","-179.692887991736","251.168911612395","50.5","6093.22","832.419766240211","0.0630065258699426"
"all_data","62","-192.432338404187","11.2444015075012","132.266119028742","-172.423706206971","221.353837363435","50.5","6081.75","850.157624758249","0.0782942134852755"
"all_data","63","-206.818602933847","-41.9414699552125","132.785119046911","-158.115913779719","274.104861125872","50.5","6681.27","913.48921010962","0.0778233907422062"
"all_data","64","-129.525953392509","-28.1596707123689","-36.8429365407087","-6.30937403796493","200.847420951793","50.5","6576.71","646.184144295597","0.0582630290418749"
"all_data","65","-86.2096905072345","-58.8402555775616","-27.0760846300615","-16.5936305062357","188.730292003705","50.5","5676.31","531.011837048328","0.0499131549388103"
"all_data","66","-95.6926961049945","-53.1782754784078","6.83797736568377","-47.4268515132031","189.467393067278","50.5","4958.77","496.566098857381","0.0532925101445706"
"all_data","67","-196.198599583412","53.2634626067692","231.319417879147","-283.281272663541","194.906224845338","50.5","6397.52","1089.01147571868","0.082244276667382"
"all_data","68","-135.544508054981","-79.4231517573163","34.2275488869845","-89.0277442836337","269.77978772246","50.5","6675.15","823.683111415671","0.0652657802499569"
"all_data","69","-70.734989086873","-90.2595614967867","-65.7855569371052","-31.5338686075561","258.321489687762","50.5","5356.08","574.799052659142","0.0554304669011363"
"all_data","7","-146.820830576243","27.3845939000604","142.4818505133","-175.936257631855","152.902190452551","50.5","7713.93","756.625011104832","0.056592431143724"
"all_data","70","-116.990872595193","-148.644680086997","230.774098539227","-275.087245830345","309.960435444611","50.5","6482.97","1126.74264231458","0.077561576338677"
"all_data","71","-126.046430890885","-39.9307401598055","162.222563848576","-183.06180785296","186.82681210538","50.5","6888.45","757.466097303682","0.0622854064325656"
"all_data","72","-77.5107904870299","1.93925429605682","15.9513263573056","-115.999128858331","175.629308768835","50.5","5026.31","477.716784445446","0.0482995325760153"
"all_data","73","-181.490824674299","5.06764699366598","123.717737590309","-157.616944375404","210.332371689454","50.5","7303.53","791.716557437586","0.0716155362643196"
"all_data","74","-208.794365422816","-17.1987892630124","528.176755179785","-572.039945724132","269.868327103633","50.5","6731.85","1733.94037011264","0.0945861634912184"
"all_data","75","-197.693082517246","-67.523372717511","12.3404888946671","-50.2756996649234","303.160595046732","50.5","6766.05","748.94465854132","0.0863890037496512"
"all_data","76","-144.525461984639","-63.2512419834681","153.991932591895","-171.888616467944","225.684637196122","50.5","6172.46","886.072840274121","0.0684587576817818"
"all_data","77","-120.483114920265","-50.1534219864072","-49.451750188504","-73.3689830610034","293.465478581323","50.5","4344.67","680.566237367309","0.0727240944035573"
"all_data","78","-155.12146492771","-13.9745634369259","245.483785664397","-270.949383203446","194.572411282857","50.5","7177.89","1001.64426795288","0.0762526775055269"
"all_data","79","-208.135490408002","3.30733152687707","-95.3575720444559","72.2058114531035","227.989506533084","50.5","6983.4","747.709446648603","0.0704185541471139"
"all_data","8","-151.673302346193","-31.6174017607073","-24.5185311689566","-16.3271941293989","224.143457581318","50.5","5213.73","597.820728554559","0.0700445483350855"
"all_data","80","-170.739417147482","-133.772830304141","30.6214687456875","-84.0669099131248","357.967542355917","50.5","6001.29","865.395217702694","0.0847828373932592"
"all_data","81","-158.07473045416","-73.06957242532","258.213668798385","-281.110134474293","254.051544435352","50.5","6898.75","1055.69554035014","0.0723387714928819"
"all_data","82","-165.370155694682","20.1017947828247","161.990856671771","-184.183746703964","167.472584461513","50.5","6617.26","806.3979665943","0.0627374775941813"
"all_data","83","-182.876146065085","-59.1962878729131","185.111330304831","-227.124869922199","284.100138859954","50.5","5932.52","1022.7163391964","0.0854416592503105"
